_id,lid,place_id,label
269,1,113,Dovecote
270,2,113,Stables
271,1,118,House
272,2,118,Community garden
273,1,119,Village
274,1,117,Greenway house 
275,2,117,Garden
276,3,117,Car Park
277,4,117,Barn Café
278,5,117,Shop
279,6,117,Second-hand bookshop
280,7,117,Tackroom takeaway 
281,1,122,Parkland
282,2,122,Car Park
283,3,122,Farm
284,4,122,Garden
285,5,122,Mansion
286,6,122,Old Hall
287,7,122,Stables Restaurant
288,8,122,Shops
289,9,122,Gardeners Cottage Tea-room
290,1,120,Countryside
291,1,123,Countryside
292,1,125,Coast and countryside
293,2,125,Boathouse Tea-room
294,3,125,Car parks
295,1,124,Countryside
296,1,126,Countryside
297,1,127,Inner Farne
298,2,127,Shop
299,3,127,Staple Island
300,1,128,Island
301,1,130,Countryside
302,1,129,Countryside
303,1,132,Manor house
304,2,132,Garden
305,3,132,Shop
306,4,132,Tea-room
307,5,132,Malthouse Gallery
308,1,131,Garden
309,2,131,Gastrobox
310,1,133,Countryside
311,2,133,Car Park
312,3,133,Tea-room
313,4,133,Toilet
314,1,134,Countryside
315,2,134,Corner House tea-room
316,3,134,Harbour Car Park
317,4,134,Glenmona Car Park
318,1,135,Castle
319,2,135,Car Park
320,3,135,Garden
321,4,135,Countryside
322,5,135,Visitor centre
323,6,135,Café
324,7,135,Shop
325,1,136,Coastline
326,1,137,Countryside
327,1,138,Countryside
328,1,140,Coastline
329,2,140,Causeway Coast Way Car Park 
330,3,140,Visitor Centre
331,1,139,Countryside
332,1,141,Coast and countryside
333,2,141,Porth Clais car park
334,1,142,Gardens
335,2,142,House
336,3,142,Shop
337,4,142,The Gallery Café
338,1,143,House
339,2,143,Café
340,3,143,Car Park
341,4,143,Garden
342,5,143,Park
343,6,143,Shop
344,1,145,House
345,2,145,Café
346,3,145,Garden
347,4,145,House tours
348,5,145,Shop
349,1,147,House
350,2,147,Garden
351,3,147,Restaurant
352,4,147,Shop
353,5,147,Walled garden
354,6,147,Kiosk
355,1,146,Cottage
356,2,146,Garden
357,1,148,Countryside
358,2,148,Car park
359,1,150,"Landscape garden, woodlands"
360,2,150,Chapel
361,3,150,Café
362,4,150,Car Park
363,1,149,Countryside
364,1,152,Devil's Dyke (countryside)
365,1,151,Tower
366,1,154,Staunton Harold
367,2,154,Café
368,1,155,Medieval Hall
369,1,153,Mill
370,1,156,Countryside
371,1,157,Godrevy countryside
372,2,157,Toilet
373,3,157,First small car parking area
374,4,157,Field car parking area
375,1,158,Mansion
376,2,158,Garden
377,3,158,Park
378,4,158,Tea-room
379,5,158,Second-hand bookshop
380,1,159,Countryside
381,2,159,Monument tours
382,1,161,The Homewood
383,1,160,Windmill
384,1,162,Countryside
385,1,163,Downs
386,2,163,The View Café
387,3,163,Chilterns Gateway Centre
388,4,163,Serving Hatch
389,1,165,House
390,2,165,South Lawn
391,3,165,Phoenix Kitchen
392,1,164,Coastline
393,2,164,Car park
394,3,164,Rope bridge
395,1,166,Cottage
396,2,166,Car Park
397,3,166,Shop
398,4,166,Tea-room
399,5,166,Constable Exhibition
400,6,166,Rowing Boat Hire
401,1,167,Coastline
402,2,167,Café (takeaway)
403,1,169,Post office
404,1,168,Countryside
405,1,170,House
406,2,170,Estate
407,3,170,Garden
408,4,170,Shop
409,5,170,Café
410,6,170,Second-hand bookshop
411,1,172,Garden
412,2,172," Car park, parkland and woodland walk"
413,3,172,House
414,4,172,Café
415,5,172,Shop
416,6,172,Second-hand bookshop
417,7,172,Cornwall Crafts Association
418,8,172,Ferry entrance
419,1,171,House
420,2,171,Garden
421,3,171,Mill
422,4,171,Plant centre
423,5,171,Redwoods Restaurant 
424,6,171,Shop
425,7,171,Bookshop
426,8,171,Hoe Fen Play Area & Treehouse 
427,1,173,Countryside
428,1,177,Castle
429,2,177,Corfe Castle Welcome Centre
430,3,177,Tea-room
431,4,177,Shop
432,5,177,Car Park
433,1,175,Tower
434,1,179,Cottage
435,1,176,Countryside
436,1,178,Garden
437,2,178,Car Park
438,3,178,Shop
439,4,178,Cafe
440,1,180,House
441,2,180,Garden
442,3,180,Toilet
443,1,181,Letocetum Museum
444,2,181,Letocetum Baths Site
445,1,182,Countryside
446,1,183,Countryside
447,2,183,Café
448,1,184,Countryside
449,1,185,Countryside
450,1,186,Entrance hall & stairs
451,1,187,Countryside
452,1,188,Countryside
453,2,188,Aira Force car park
454,3,188,Tea-room
455,1,189,House
456,2,189,Chapel
457,1,190,Countryside
458,2,190,Car park
459,1,191,Bridge
460,1,193,House
461,1,192,House (last entry 30mins before closing)
462,2,192,Wider parkland
463,3,192,Garden
464,4,192,Stables Coffeeshop 
465,5,192,Killerton Kitchen Café 
466,6,192,Shop and plant sales
467,7,192,Chapel
468,8,192,Second-hand bookshop
469,9,192,Marker's
470,10,192,Clyston Mill
471,1,195,Dodman and Black Head
472,1,197,Countryside
473,2,197,Café
474,3,197,Discovery Zone
475,4,197,Servery
476,5,197,Shop
477,1,194,Foremark
478,2,194,Café
479,1,196,House
480,2,196,Garden
481,3,196,Shop
482,1,199,House
483,2,199,Formal Garden and Rock Garden
484,3,199,Shop
485,4,199,Tea-room
486,5,199,Carriage Drive
487,1,198,Purbecks Heaths and Downs
488,1,200,Roseland
489,1,201,Workhouse
490,2,201,Café
491,3,201,Firbeck Infirmary
492,1,202,Garden
493,1,203,Estate
494,2,203,Welcome Building
495,3,203,Longshaw Café
496,1,204,House
497,2,204,Farm
498,3,204,Lady's Mile Walk
499,1,205,House
500,2,205,Café
501,3,205,Grounds
502,4,205,Shop
503,1,206,Fort
504,2,206,Countryside
505,1,208,Countryside
506,1,207,Manor
507,2,207,Garden
508,1,210,Dovecote
509,1,209,Countryside
510,2,209,Botallack Count House
511,1,211,Corn Mill
512,1,213,Coastline
513,1,212,Garden
514,2,212,Tea-room
515,1,215,Countryside
516,1,214,Visitor Centre
517,1,218,Garden
518,2,218,Estate walks
519,3,218,House
520,4,218,Old Castle
521,5,218,Shop
522,6,218,Tea-room
523,1,216,Garden and car park
524,2,216,House
525,3,216,Café
526,4,216,Shop
527,5,216,King Alfred's Tower
528,1,217,Countryside
529,1,220,Park
530,2,220,Walled Garden
531,3,220,House
532,4,220,Restaurant
533,5,220,Shop
534,6,220,RAF museum
535,1,219,Countryside
536,2,219,Memorials car park
537,3,219,Riverside car park
538,4,219,Tea-room
539,1,221,Countryside
540,1,222,House
541,2,222,Car park
542,3,222,Garden
543,4,222,Studio
544,5,222,Cafe
545,6,222,Shop
546,7,222,Second-hand bookshop 
547,8,222,Garden Cottage Coffee Shop
548,9,222,Visitor reception
